id,ProjectID,TitleID,BillingRate,event_type,created_at
1,1,,263.29,,2020-01-15 01:52:22.889220
2,1,,263.29,,2020-01-15 01:52:22.889220
3,1,,353.96,,2020-01-15 01:52:22.889220
4,1,,313.37,,2020-01-15 01:52:22.889220
5,1,,251.53,,2020-01-15 01:52:22.889220
6,1,,302.13,,2020-01-15 01:52:22.889220
7,2,,244.97,,2020-02-11 11:11:29.988607
8,2,,260.42,,2020-02-11 11:11:29.988607
9,2,,244.91,,2020-02-11 11:11:29.988607
10,2,,367.61,,2020-02-11 11:11:29.988607
11,2,,274.33,,2020-02-11 11:11:29.988607
12,2,,222.11,,2020-02-11 11:11:29.988607
13,3,,256.61,,2020-05-10 16:14:48.749377
14,3,,275.26,,2020-05-10 16:14:48.749377
15,3,,263.27,,2020-05-10 16:14:48.749377
16,3,,204.23,,2020-05-10 16:14:48.749377
17,3,,253.97,,2020-05-10 16:14:48.749377
18,3,,257.86,,2020-05-10 16:14:48.749377
19,4,,194.63,,2020-07-08 19:36:54.916490
20,4,,284.23,,2020-07-08 19:36:54.916490
21,4,,287.99,,2020-07-08 19:36:54.916490
22,4,,314.09,,2020-07-08 19:36:54.916490
23,4,,213.15,,2020-07-08 19:36:54.916490
24,4,,208.98,,2020-07-08 19:36:54.916490
25,5,,236.41,,2020-08-02 02:54:37.995389
26,5,,288.83,,2020-08-02 02:54:37.995389
27,5,,316.36,,2020-08-02 02:54:37.995389
28,5,,275.65,,2020-08-02 02:54:37.995389
29,5,,347.68,,2020-08-02 02:54:37.995389
30,5,,261.77,,2020-08-02 02:54:37.995389
31,6,,313.85,,2020-08-17 02:28:10.387717
32,6,,285.7,,2020-08-17 02:28:10.387717
33,6,,212.71,,2020-08-17 02:28:10.387717
34,6,,283.66,,2020-08-17 02:28:10.387717
35,6,,294.27,,2020-08-17 02:28:10.387717
36,6,,230.81,,2020-08-17 02:28:10.387717
37,7,,300.75,,2020-08-28 12:53:41.419585
38,7,,300.69,,2020-08-28 12:53:41.419585
39,7,,300.75,,2020-08-28 12:53:41.419585
40,7,,467.64,,2020-08-28 12:53:41.419585
41,7,,303.54,,2020-08-28 12:53:41.419585
42,7,,331.78,,2020-08-28 12:53:41.419585
43,8,,214.99,,2020-09-07 23:08:22.342006
44,8,,258.27,,2020-09-07 23:08:22.342006
45,8,,251.25,,2020-09-07 23:08:22.342006
46,8,,242.33,,2020-09-07 23:08:22.342006
47,8,,363.27,,2020-09-07 23:08:22.342006
48,8,,295.25,,2020-09-07 23:08:22.342006
49,9,,333.1,,2020-10-13 16:24:08.305422
50,9,,316.27,,2020-10-13 16:24:08.305422
51,9,,315.68,,2020-10-13 16:24:08.305422
52,9,,340.27,,2020-10-13 16:24:08.305422
53,9,,276.05,,2020-10-13 16:24:08.305422
54,9,,309.1,,2020-10-13 16:24:08.305422
55,10,,274.07,,2020-10-30 11:51:30.045096
56,10,,260.57,,2020-10-30 11:51:30.045096
57,10,,291.14,,2020-10-30 11:51:30.045096
58,10,,233.64,,2020-10-30 11:51:30.045096
59,10,,300.97,,2020-10-30 11:51:30.045096
60,10,,351.64,,2020-10-30 11:51:30.045096
61,11,,307.27,,2020-11-19 20:22:55.288590
62,11,,343.43,,2020-11-19 20:22:55.288590
63,11,,226.75,,2020-11-19 20:22:55.288590
64,11,,309.3,,2020-11-19 20:22:55.288590
65,11,,327.92,,2020-11-19 20:22:55.288590
66,11,,187.06,,2020-11-19 20:22:55.288590
67,12,,299.38,,2020-12-05 08:22:05.126448
68,12,,225.71,,2020-12-05 08:22:05.126448
69,12,,300.2,,2020-12-05 08:22:05.126448
70,12,,248.49,,2020-12-05 08:22:05.126448
71,12,,235.36,,2020-12-05 08:22:05.126448
72,12,,269.65,,2020-12-05 08:22:05.126448
73,13,,191.53,,2020-12-24 14:52:57.045596
74,13,,302.17,,2020-12-24 14:52:57.045596
75,13,,241.87,,2020-12-24 14:52:57.045596
